#Generated on 01/9/2014 15:21:34 PM
[01/9/2014 15:21:34 PM] ATLauncher Version: 3.2.1.6
[01/9/2014 15:21:34 PM] Operating System: Linux
[01/9/2014 15:21:34 PM] RAM Available: 7933MB
[01/9/2014 15:21:34 PM] Java Version: Launcher: 1.7.0_65, Minecraft: 1.7.0_65
[01/9/2014 15:21:34 PM] Java Path: /usr/lib/jvm/java-7-openjdk/jre
[01/9/2014 15:21:34 PM] 64 Bit Java: true
[01/9/2014 15:21:34 PM] Launcher Directory: **USERSDIR**
[01/9/2014 15:21:34 PM] Using Theme: ATLauncher by RyanTheAllmighty
[01/9/2014 15:21:35 PM] Showing splash screen and loading everything
[01/9/2014 15:21:35 PM] Language file english.lang doesn't exist! Ignore this if it's the first time starting up ATLauncher!
[01/9/2014 15:21:35 PM] Checking for updated files!
[01/9/2014 15:21:35 PM] Updates found!
[01/9/2014 15:21:35 PM] Downloading Launcher File packs.json
[01/9/2014 15:21:35 PM] Downloading Launcher File news.json
[01/9/2014 15:21:35 PM] Downloading Launcher File languages.json
[01/9/2014 15:21:35 PM] Downloading Launcher File version.json
[01/9/2014 15:21:35 PM] Downloading Launcher File minecraftversions.json
[01/9/2014 15:21:35 PM] Downloading Launcher File minimatech.png
[01/9/2014 15:21:35 PM] Downloading Launcher File silverhawkcrafters.png
[01/9/2014 15:21:35 PM] Downloading Launcher File racpack.png
[01/9/2014 15:21:35 PM] Downloading Launcher File shneekeycraft.png
[01/9/2014 15:21:35 PM] Downloading Launcher File leafrecraft.png
[01/9/2014 15:21:35 PM] Downloading Launcher File shenanigans.png
[01/9/2014 15:21:35 PM] Downloading Launcher File raizpack.png
[01/9/2014 15:21:35 PM] Downloading Launcher File bakermanlp.png
[01/9/2014 15:21:35 PM] Downloading Launcher File thedistrict.png
[01/9/2014 15:21:35 PM] Downloading Launcher File dreamcraft.png
[01/9/2014 15:21:35 PM] Downloading Launcher File solitaryasylummappack.png
[01/9/2014 15:21:35 PM] Downloading Launcher File lezcraft.png
[01/9/2014 15:21:35 PM] Downloading Launcher File omniuspack.png
[01/9/2014 15:21:35 PM] Downloading Launcher File businesselite.png
[01/9/2014 15:21:35 PM] Downloading Launcher File minelandseason2.png
[01/9/2014 15:21:35 PM] Downloading Launcher File resonantriselite.png
[01/9/2014 15:21:35 PM] Downloading Launcher File iggcraft.png
[01/9/2014 15:21:35 PM] Downloading Launcher File defaultimage.png
[01/9/2014 15:21:35 PM] Downloading Launcher File twistedsin.png
[01/9/2014 15:21:35 PM] Downloading Launcher File theironpack.png
[01/9/2014 15:21:36 PM] Downloading Launcher File karma.png
[01/9/2014 15:21:36 PM] Downloading Launcher File otegamerscreativepack.png
[01/9/2014 15:21:36 PM] Downloading Launcher File simplyaussiesprivateserverpack.png
[01/9/2014 15:21:36 PM] Downloading Launcher File porcupineteatime.png
[01/9/2014 15:21:36 PM] Downloading Launcher File minelandmodpack.png
[01/9/2014 15:21:36 PM] Downloading Launcher File incepticraftmodpack.png
[01/9/2014 15:21:36 PM] Downloading Launcher File tetrachate.png
[01/9/2014 15:21:36 PM] Downloading Launcher File serialcraft.png
[01/9/2014 15:21:36 PM] Downloading Launcher File buttcraft.png
[01/9/2014 15:21:36 PM] Downloading Launcher File mcvenom.png
[01/9/2014 15:21:36 PM] Downloading Launcher File buildguildvanilla.png
[01/9/2014 15:21:36 PM] Downloading Launcher File xtech.png
[01/9/2014 15:21:36 PM] Downloading Launcher File stracciatellamodpack.png
[01/9/2014 15:21:36 PM] Downloading Launcher File stellarcraft.png
[01/9/2014 15:21:36 PM] Downloading Launcher File solitarycraft.png
[01/9/2014 15:21:36 PM] Downloading Launcher File creatik.png
